,brand,title,Price,Link
0,Little Hotties,"Hand Warmers, Disposable, Air Activated, Up to 8 Hours, Pack of 40 Pairs",new price: $40.00,https://www.zoro.com//little-hotties-hand-warmers-disposable-air-activated-up-to-8-hours-pack-of-40-pairs-07221/i/G0460875/
1,Ansell,"TouchNTuff 92-675, Disposable Nitrile Gloves, Textured Fingertips, 4.3 mil Palm, Powder-Free, S",product price: $13.59,https://www.zoro.com//ansell-touchntuff-92-675-disposable-nitrile-gloves-textured-fingertips-43-mil-palm-powder-free-s-92-675/i/G0058782/
2,Ansell,"SG-375, Exam Gloves, 11 mil Palm, Latex, Powder-Free, L (9), 50 PK, Blue",product price: $12.59,https://www.zoro.com//ansell-sg-375-exam-gloves-11-mil-palm-latex-powder-free-l-9-50-pk-blue-sg-375-l/i/G0067401/
3,Mechanix Wear,"RDT, Nitrile Diposable Gloves, 8 mil Palm, Diamond Texture, Powder-Free, L ( 10 ), 100 PK, Orange",new price: $26.85,https://www.zoro.com//mechanix-wear-rdt-nitrile-diposable-gloves-8-mil-palm-diamond-texture-powder-free-l-10-100-pk-orange-d01-09-010-100/i/G901968888/
4,Tillman,"Leather Drivers Gloves, Top Grain/Split Cowhide, Unlined, Rolled Cuff, Keystone Thumb, M, 1 Pair",product price: $12.29,https://www.zoro.com//tillman-leather-drivers-gloves-top-grainsplit-cowhide-unlined-rolled-cuff-keystone-thumb-m-1-pair-1414m/i/G3321879/
5,Tillman,"MIG/TIG Welding Gloves, Straight Thumb, Gauntlet Cuff, Premium, Brown Cowhide, L, 1 Pair",product price: $17.19,https://www.zoro.com//tillman-migtig-welding-gloves-straight-thumb-gauntlet-cuff-premium-brown-cowhide-l-1-pair-48l/i/G0130496/
6,Ansell,"TouchNTuff, 9 1/2 in Chemical Resistant Gloves, Nitrile, Powder-Free, 5 mil Large (9), 100 Pack",product price: $12.79,https://www.zoro.com//ansell-touchntuff-9-12-in-chemical-resistant-gloves-nitrile-powder-free-5-mil-large-9-100-pack-92-600/i/G0058843/
7,Ansell,"Microflex MF-300 Exam Gloves, 6.3 mil, Natural Rubber Latex, Powder-Free, S (7), Natural, 100 Pack",product price: $12.89,https://www.zoro.com//ansell-microflex-mf-300-exam-gloves-63-mil-natural-rubber-latex-powder-free-s-7-natural-100-pack-mf-300-s/i/G0067252/
8,Condor,"Coated Gloves, Polyurethane, Nylon, Smooth, ANSI Abrasion Level 3, Gray/Black, Medium, 1 Pair",product price: $1.29,https://www.zoro.com//condor-coated-gloves-polyurethane-nylon-smooth-ansi-abrasion-level-3-grayblack-medium-1-pair-56jk83/i/G4609793/
9,Tillman,"TIG Welding Gloves, 24C Series, Premium Kidskin Palm, Straight Thumb, 4 in Gauntlet Cuff, White, L",product price: $17.99,https://www.zoro.com//tillman-tig-welding-gloves-24c-series-premium-kidskin-palm-straight-thumb-4-in-gauntlet-cuff-white-l-24cl/i/G0055745/
10,Ansell,"Alphatec Solvex Chemical Resistant Gloves, 18.11 Thickness, Flock Lining, 13 in L, Green, Size 10",product price: $2.29,https://www.zoro.com//ansell-alphatec-solvex-chemical-resistant-gloves-1811-thickness-flock-lining-13-in-l-green-size-10-37-175/i/G604067307/
11,Ansell,"Hyflex Coated Gloves, Foam Nitrile, Palm Coated, Rough Finish, 15 ga, ANSI Abrasion Level 4, XL",product price: $4.19,https://www.zoro.com//ansell-hyflex-coated-gloves-foam-nitrile-palm-coated-rough-finish-15-ga-ansi-abrasion-level-4-xl-11-840/i/G5414141/
12,Ansell,"BD-1000-NPF, Exam Gloves with Textured Fingertips, 3.5 mil Palm, Nitrile, Powder-Free, L (9), Black",product price: $11.09,https://www.zoro.com//ansell-bd-1000-npf-exam-gloves-with-textured-fingertips-35-mil-palm-nitrile-powder-free-l-9-black-bd-1003-npf-l/i/G4521054/
13,Condor,"Coated Gloves, Palm Coverage, Polyurethane, Smooth, 13 ga., Abrasion Level 3, XL, 1 PR",product price: $1.29,https://www.zoro.com//condor-coated-gloves-palm-coverage-polyurethane-smooth-13-ga-abrasion-level-3-xl-1-pr-48up89/i/G4149839/
14,Ansell,"Hyflex Cut-Resistant Coated Gloves, A2 Cut Level, Dipped, Polyurethane, Gray, Large (Size 9), 1 Pair",new price: $7.79,https://www.zoro.com//ansell-hyflex-cut-resistant-coated-gloves-a2-cut-level-dipped-polyurethane-gray-large-size-9-1-pair-11-644/i/G4450162/
15,Mcr Safety,"NitriShield with Grippaz, Nitrile Disposable Gloves, 6 mil Palm, Powder-Free, XL, 100 PK, Black",product price: $20.85,https://www.zoro.com//mcr-safety-nitrishield-with-grippaz-nitrile-disposable-gloves-6-mil-palm-powder-free-xl-100-pk-black-6016bxl/i/G3374773/
16,Pip,"Ambi-dex Octane, Disposable Gloves, 3 mil Palm, Nitrile, Powder-Free, L (9), 100 PK, Blue",product price: $6.45,https://www.zoro.com//pip-ambi-dex-octane-disposable-gloves-3-mil-palm-nitrile-powder-free-l-9-100-pk-blue-63-230pfl/i/G2818989/
